TSA,30,100,12:48:00,6
TSA,01,100,12:48:00,6
TSA,09,30,12:48:00,6
HSB,02,100,12:48:00,6
HSB,03,90,12:48:00,6
HSB,08,12,12:50:00,6
LNG,03,100,12:50:00,6
SWB,01,100,12:50:00,6
SWB,04,52,12:50:00,6
SWB,05,12,12:50:00,6
DUK,30,100,12:50:00,6
NAN,02,100,12:50:00,6
TSA,30,85,12:50:00,6
TSA,01,100,12:50:00,6
TSA,09,30,12:50:00,6
HSB,02,100,12:50:00,6
HSB,03,91,12:50:00,6
TSA,30,87,12:52:00,6
TSA,01,100,12:52:00,6
TSA,09,30,12:52:00,6
HSB,02,100,12:52:00,6
TSA,30,89,12:54:00,6
TSA,01,100,12:54:00,6
TSA,09,30,12:54:00,6
HSB,02,100,12:54:00,6
HSB,03,97,12:54:00,6
HSB,08,17,12:54:00,6
LNG,03,100,12:53:00,6
SWB,01,100,12:56:00,6
SWB,04,52,12:56:00,6
SWB,05,16,12:56:00,6
DUK,30,100,12:56:00,6
NAN,02,100,12:56:00,6
TSA,30,91,12:56:00,6
